Retail Sku,External ID,Sku Suffix,Retailskusuffix,Online Sku Suffix,Barcode,Alias
,UF7250,1797-5,UF77250-0005,UF77250-0005,6.13902E+11,HideVariantWhenOutOfStock
,UF7250,1797-7,UF77250-0006,UF77250-0006,6.13902E+11,HideVariantWhenOutOfStock
,UF7250,143-1,UF77255-0001,UF77255-0001,6.13902E+11,HideVariantWhenOutOfStock
,UF7250,143-2,UF77255-0002,UF77255-0002,6.13902E+11,HideVariantWhenOutOfStock
,UF7250,143-3,UF77255-0003,UF77255-0003,6.13902E+11,HideVariantWhenOutOfStock
,UF7250,143-4,UF77255-0004,UF77255-0004,6.13902E+11,HideVariantWhenOutOfStock
,UF7250,143-5,UF77255-0005,UF77255-0005,6.13902E+11,HideVariantWhenOutOfStock
,UF7250,143-6,UF77255-0006,UF77255-0006,6.13902E+11,HideVariantWhenOutOfStock
,UF7250,193-1,UF7240-0001,UF7240-0001,6.13902E+11,HideVariantWhenOutOfStock
,UF7250,193-2,UF7240-0002,UF7240-0002,6.13902E+11,HideVariantWhenOutOfStock
,UF7250,193-3,UF7240-0003,UF7240-0003,6.13902E+11,HideVariantWhenOutOfStock
,UF7250,193-4,UF7240-0004,UF7240-0004,6.13902E+11,HideVariantWhenOutOfStock
,UF7250,193-5,UF7240-0005,UF7240-0005,6.13903E+11,HideVariantWhenOutOfStock
,UF7250,193-6,UF7240-0006,UF7240-0006,6.13903E+11,HideVariantWhenOutOfStock
,UF7250,193-7,UF7240-0007,UF7240-0007,6.13903E+11,HideVariantWhenOutOfStock
,UF7250,193-8,UF7240-0008,UF7240-0008,6.13902E+11,HideVariantWhenOutOfStock
,UF7250,2416-1,UF7250-0001,UF7250-0001,6.13902E+11,HideVariantWhenOutOfStock
,UF7250,2416-2,UF7250-0002,UF7250-0002,6.13902E+11,HideVariantWhenOutOfStock
,UF7250,2416-3,UF7250-0003,UF7250-0003,6.13902E+11,HideVariantWhenOutOfStock
,UF7250,2416-4,UF7250-0004,UF7250-0004,6.13902E+11,HideVariantWhenOutOfStock
,UF7250,2416-5,UF7250-0005,UF7250-0005,6.13903E+11,HideVariantWhenOutOfStock
,UF7250,2416-6,UF7250-0006,UF7250-0006,6.13903E+11,HideVariantWhenOutOfStock
,UF7250,2416-7,UF7250-0007,UF7250-0007,6.13903E+11,HideVariantWhenOutOfStock
,UF7250,2416-8,UF7250-0008,UF7250-0008,6.13902E+11,HideVariantWhenOutOfStock
,UF1574,158-1,UF96695-0001,UF96695-0001,6.13902E+11,HideVariantWhenOutOfStock
,UF1574,158-2,UF96695-0002,UF96695-0002,6.13902E+11,HideVariantWhenOutOfStock
,UF1574,158-3,UF96695-0003,UF96695-0003,6.13902E+11,HideVariantWhenOutOfStock
